registry_id,year,state,prev_yr_se_viols,prev_yr_se_hpviols,region_code,pct_white,pct_black,pct_native,pct_asian,pct_hi_pi,pct_other,earnings_median,total_population
110070096721,2022,FL,0,0,90011,25.1980055664762,39.8548755973944,1.1284667654335,0.401011684632757,0.0933484500040439,33.324291936059,14643.1943721704,110750
110070090536,2022,Ky,0,0,91289,12.4944502421355,46.0123350042772,0.372379746681625,35.8729932788362,0.413070248802465,4.83477147926706,40337.8078925628,43531
110055097648,2022,CA,0,0,34269,70.0530185226995,26.9062344971916,0.130317727718953,1.30317727718953,0.361993688108203,1.24525828709222,30743,5272
110000485190,2022,MO,0,0,95341,35.020417219365,29.374628262906,0.893388565939408,8.57735936393798,0.080840264667371,26.0533663231843,30022,34047
110067031991,2022,FL,0,0,63143,58.2491768257292,35.6298863999929,0.449243066002043,3.56185573758763,0,2.10983797068817,40436,9089
110070089273,2022,MO,0,0,92804,30.1318645986163,49.0684979947288,0.606120095113851,13.4874360367781,0.805538662088288,5.9005426126746,33218.4227576079,88173
110067187118,2022,CA,0,0,34105,51.3567758963375,45.7934827510946,0.232074744879782,2.04771833717454,0,0.569948270513581,41775.9383867176,16185
110000479330,2022,KY,0,0,92337,31.4164434512664,28.3028597140846,1.54968179224211,5.86048108382899,0.340084379080415,32.5304495794974,41092,39600
110070096997,2022,FL,0,0,90250,36.2955224115492,31.6314951012316,1.50842386966249,7.39816912361938,0.828804323990378,22.337585169947,35779,95115
110000526538,2022,FL,0,0,90601,26.6361080307148,47.3490576733754,1.63907101611378,4.25901606831524,0.0850839998570327,20.0316632116237,45587,30623
110070162332,2022,CA,0,0,33709,48.7033243978606,45.3571883339986,1.15915419909769,2.37720850993815,0.122512232424959,2.28061232668001,27498.1433235817,23690
110008332553,2022,CA,0,0,33199,46.2492298214734,42.7969304842421,0.157619420024057,2.19815191168685,0.0312398850498132,8.56682847752377,30502,35938
110070219509,2022,Ca,0,0,32310,39.4005563857118,56.2640703910161,0.433537322327218,0.598966037425762,0,3.3028698635192,27901,15265
110011092441,2022,FL,0,0,64836,56.267799339971,38.5341044388963,1.49181932076806,0.656498485986601,0.17637272757849,2.87340568679956,32583.8758412776,24375
110070111165,2022,KY,0,0,90744,46.7930513524272,24.2082348510455,1.02775605155632,3.21173766111351,0.74328785871484,24.0159322251426,27189,56450
110070263612,2022,CA,0,0,34984,65.827125821876,28.0366664264345,0.372518514436459,0.895079208298715,0.129346706401548,4.73926332255273,36960,17072
110067587249,2022,FL,0,0,59521,3.09875783432829,37.7692756569949,59.1319665086769,0,0,0,NA,3863
110006388854,2022,Ca,0,0,33773,68.2736472323469,21.8209217939804,0.634092517747682,8.03485804631706,0.113230806740658,1.12324960286732,40487,17290
110070162549,2022,FL,0,0,65049,58.3029399308055,40.4063964631832,0.669232980894734,0.342583549743733,0.00796705929636588,0.27088001607644,37351,7455
110070087769,2022,MO,0,0,93436,45.4166260829529,33.4990585249706,2.62550805288639,3.70564271652738,0.480421341358393,14.2727432813043,35108,55727
110070204281,2022,fl,0,0,40503,46.2957390695713,47.6613242065533,0.686168030016091,3.51146041470375,0,1.84530827915554,39747.7003076524,28880
110064760450,2022,CA,0,0,33905,59.6910854899266,31.9338367453371,0.574334229749571,1.42261077303101,0.00566777200410761,6.37246498995165,31489,38304
110070212301,2022,California,0,0,34986,56.465088724275,38.9784086622869,0.315943843185312,1.52047974532931,0,2.72007902492355,38318.3346032688,28354
110070389493,2022,KY,0,0,90680,25.8118339414658,48.0810279172779,0.672459020174978,15.0348355632439,0.232712548747904,10.1671310090895,NA,30807
110070001427,2022,CA,0,0,34288,64.8920154639151,32.311332377099,0,2.31843674651861,0,0.478215412467285,42027,11973
110070095507,2022,MO,0,0,93010,50.383744174721,36.2006283399286,1.39174393842764,5.91458503786246,0.635105684578249,5.47419282448207,50996,46434
110069994881,2022,FL,0,0,64161,66.2635925205122,29.4304700593823,0.239218745561416,0,0,4.06671867454407,33646,346
110070088222,2022,FL,0,0,90260,32.1038075774135,38.7299084869313,0.71043843855208,9.27923146824518,0.560689159837671,18.6159248690203,34634,34540
110070089639,2022,KY,0,0,92064,42.4876308763763,41.9806403709908,0.587433008798524,9.228852298229,0.56729244849686,5.14815099710859,NA,49768
110070386622,2022,FL,0,0,90631,31.9645886359398,44.9344775585188,0.910874339965989,7.6015632260699,0.0435204001492551,14.5449758393563,32224.234953763,68748
110070147427,2022,caLifornia,0,0,33612,41.7301926339705,48.9532497198665,0.558993458769778,2.26924725524398,0.13575555427266,6.35256137787655,27905,51347
110070257065,2022,MO,0,0,94603,14.1686840657894,47.151397977632,1.76469879210525,4.17789491315786,0.93933855526315,31.7979856960524,35088,35486
110064512807,2022,FL,0,0,42003,49.6479180965475,48.8240583054022,0.604883856408008,0.37360473484024,0,0.549535006802047,30904,28141
110070093526,2022,MO,0,0,93450,44.3962646915423,18.2726826323437,0,0,0,37.331052676114,NA,856
110000517334,2022,AK,3,2,32114,35.1724273174075,59.2674140413924,0.901080985822633,1.40400990814224,0.102448484176217,3.15261926305903,26613,33731
110070159666,2022,FL,0,0,64057,69.7415620298525,21.4201660185774,1.77850629311951,1.78453512801144,2.03774619347252,3.2374843369667,45406,13710
110070389528,2022,Ca,0,0,32246,45.9592999931242,40.7835008376515,0.722209250937448,7.93498293126757,0.117650216684971,4.48235677033435,40661,55325
110032780426,2022,California,0,0,33592,51.2383464380706,46.1022059128162,0.113828498600177,1.12276291801084,0.155220679909332,1.26763555259288,35114,11706
